rule_id,counterparty_pattern,match_type,min_days_to_maturity,max_days_to_maturity,factor,priority,description
HC_DBBNP_1,DBBNP,EXACT,1,360,0.995,10,DBBNP 1-360 days
HC_DBBNP_2,DBBNP,EXACT,361,720,0.98,10,DBBNP 361-720 days
HC_DBBNP_3,DBBNP,EXACT,721,1800,0.97,10,DBBNP 721-1800 days
HC_DBBNP_4,DBBNP,EXACT,1801,3600,0.95,10,DBBNP 1801-3600 days
HC_DBBNP_5,DBBNP,EXACT,3601,,0.92,10,DBBNP 3601+ days
HC_DMSPLC_1,DMSPLC,CONTAINS,1,360,0.995,10,DMSPLC 1-360 days
HC_DMSPLC_2,DMSPLC,CONTAINS,361,1800,0.98,10,DMSPLC 361-1800 days
HC_DMSPLC_3,DMSPLC,CONTAINS,1801,,0.96,10,DMSPLC 1801+ days
HC_CBGSMX_1,CBGSMX,CONTAINS,1,360,0.995,10,CBGSMX 1-360 days
HC_CBGSMX_2,CBGSMX,CONTAINS,361,1800,0.98,10,CBGSMX 361-1800 days
HC_CBGSMX_3,CBGSMX,CONTAINS,1801,,0.96,10,CBGSMX 1801+ days
HC_BBVA_1,BBVA,CONTAINS,1,364,0.99,10,BBVA 1-364 days
HC_BBVA_2,BBVA,CONTAINS,361,1092,0.98,20,BBVA 361-1092 days
HC_BBVA_3,BBVA,CONTAINS,1093,2548,0.97,10,BBVA 1093-2548 days
HC_BBVA_4,BBVA,CONTAINS,2549,3640,0.96,10,BBVA 2549-3640 days
HC_BBVA_5,BBVA,CONTAINS,3641,,0.94,10,BBVA 3641+ days

